from_currency,to_currency,cheap_rate,expensive_rate,cutoff_time
DKK,BRL,0.1594,0.50868,300
DKK,JPY,0.0443,0.12001,300
HKD,NOK,0.0678,0.2351,230
HKD,THB,0.269,0.86072,230
INR,NZD,0.0056,0.01884,150
INR,ZAR,0.0113,0.03001,150
MXN,NZD,0.0113,0.02925,150
MXN,ZAR,0.0343,0.09046,150
PLN,NOK,0.0285,0.07974,230
PLN,THB,0.0678,0.21667,230
SEK,BRL,0.0443,0.14311,300
SEK,JPY,0.0231,0.06924,300
USD,AUD,0.00784,0.0196,165
USD,CAD,0.0149,0.03725,141
USD,CHF,0.00717,0.01792,172
USD,EUR,0.00489,0.01222,521
USD,GBP,0.00547,0.01367,70
USD,SGD,0.00522,0.01305,207
