from_currency,to_currency,cheap_rate,expensive_rate,cutoff_time
DKK,AUD,0.028,0.08915,220
DKK,BRL,0.0797,0.25945,220
HKD,GBP,0.0857,0.29962,80
HKD,NOK,0.0224,0.07061,80
PLN,AUD,0.0138,0.04621,220
PLN,BRL,0.028,0.09353,220
SGD,GBP,0.0224,0.07812,80
SGD,NOK,0.0094,0.03239,80
USD,CAD,0.00933,0.02332,96
USD,CHF,0.01459,0.03648,322
USD,JPY,0.00585,0.01463,295
USD,MXN,0.01118,0.02795,28
USD,NZD,0.00989,0.02472,21
USD,SEK,0.01266,0.03165,385
USD,THB,0.00517,0.01293,76
USD,ZAR,0.00755,0.01887,302
