claim_id,claim_type,incident_cluster_id,settlement_offer_usd,linked_claim_id
CLM0001,AUTO,CLU0001,17752.47,CLM0002
CLM0002,AUTO,CLU0001,17394.83,CLM0001
CLM0003,AUTO,CLU0001,16933.29,CLM0004
CLM0004,AUTO,CLU0001,16564.43,CLM0003
CLM0005,AUTO,CLU0001,17960.48,CLM0006
CLM0006,AUTO,CLU0001,17394.71,CLM0005
CLM0007,AUTO,CLU0001,17685.39,CLM0008
CLM0008,AUTO,CLU0001,17865.51,CLM0007
CLM0009,AUTO,CLU0001,17532.23,CLM0010
CLM0010,AUTO,CLU0001,16784.99,CLM0009
CLM0011,AUTO,CLU0001,17972.22,CLM0012
CLM0012,AUTO,CLU0001,16927.11,CLM0011
CLM0013,AUTO,CLU0001,12638.78,
CLM0014,AUTO,CLU0001,12624.31,
CLM0015,AUTO,CLU0001,12629.97,
CLM0016,AUTO,CLU0001,12610.57,
CLM0017,AUTO,CLU0001,12748.73,
CLM0018,AUTO,CLU0001,12600.58,
CLM0019,AUTO,CLU0001,12681.31,
CLM0020,AUTO,CLU0001,12598.25,
CLM0021,AUTO,CLU0001,12749.30,
CLM0022,AUTO,CLU0001,12743.59,
CLM0023,AUTO,CLU0001,12568.07,
CLM0024,AUTO,CLU0001,12546.58,
CLM0025,AUTO,CLU0001,12708.65,
CLM0026,AUTO,CLU0002,17698.99,CLM0027
CLM0027,AUTO,CLU0002,17537.15,CLM0026
CLM0028,AUTO,CLU0002,17112.78,CLM0029
CLM0029,AUTO,CLU0002,17084.65,CLM0028
CLM0030,AUTO,CLU0002,16697.47,CLM0031
CLM0031,AUTO,CLU0002,17438.25,CLM0030
CLM0032,AUTO,CLU0002,16623.60,CLM0033
CLM0033,AUTO,CLU0002,16911.86,CLM0032
CLM0034,AUTO,CLU0002,17484.18,CLM0035
CLM0035,AUTO,CLU0002,16522.01,CLM0034
CLM0036,AUTO,CLU0002,17751.80,CLM0037
CLM0037,AUTO,CLU0002,16608.60,CLM0036
CLM0038,AUTO,CLU0002,12607.24,
CLM0039,AUTO,CLU0002,12613.97,
CLM0040,AUTO,CLU0002,12518.17,
CLM0041,AUTO,CLU0002,12736.79,
CLM0042,AUTO,CLU0002,12552.29,
CLM0043,AUTO,CLU0002,12601.41,
CLM0044,AUTO,CLU0002,12710.22,
CLM0045,AUTO,CLU0002,12647.09,
CLM0046,AUTO,CLU0003,12517.98,
CLM0047,PROPERTY,CLU0003,28150.28,
CLM0048,PROPERTY,CLU0004,22084.24,
CLM0049,PROPERTY,CLU0005,28133.83,
CLM0050,AUTO,CLU0005,11225.50,
CLM0051,AUTO,CLU0006,9205.54,
CLM0052,AUTO,CLU0006,11427.15,
CLM0053,AUTO,CLU0007,7886.89,
CLM0054,AUTO,CLU0008,8673.43,
CLM0055,AUTO,CLU0008,9570.33,
CLM0056,PROPERTY,CLU0009,24995.71,
CLM0057,PROPERTY,CLU0009,27143.12,
CLM0058,PROPERTY,CLU0010,24624.65,
CLM0059,LIABILITY,CLU0010,65877.95,
CLM0060,PROPERTY,CLU0011,30491.64,
CLM0061,PROPERTY,CLU0011,26128.24,
CLM0062,AUTO,CLU0011,10734.13,
CLM0063,PROPERTY,CLU0012,27101.29,
CLM0064,PROPERTY,CLU0013,30644.93,
CLM0065,LIABILITY,CLU0014,76325.14,
CLM0066,PROPERTY,CLU0015,29653.51,
CLM0067,LIABILITY,CLU0015,61026.19,
CLM0068,LIABILITY,CLU0016,60877.46,
CLM0069,LIABILITY,CLU0017,53948.33,
CLM0070,AUTO,CLU0018,7813.85,
CLM0071,AUTO,CLU0019,8921.15,
CLM0072,PROPERTY,CLU0019,20205.10,
CLM0073,LIABILITY,CLU0020,70720.31,
CLM0074,PROPERTY,CLU0021,29205.04,
CLM0075,PROPERTY,CLU0022,32316.39,
CLM0076,LIABILITY,CLU0022,53520.12,
CLM0077,LIABILITY,CLU0022,76268.35,
CLM0078,PROPERTY,CLU0023,28588.08,
CLM0079,PROPERTY,CLU0024,32688.90,
CLM0080,AUTO,CLU0024,9603.34,
CLM0081,PROPERTY,CLU0025,20476.85,
CLM0082,AUTO,CLU0025,9623.83,
CLM0083,AUTO,CLU0026,10484.82,
CLM0084,LIABILITY,CLU0027,56911.59,
CLM0085,LIABILITY,CLU0028,74307.72,
CLM0086,AUTO,CLU0029,10753.20,
CLM0087,AUTO,CLU0030,8065.90,
CLM0088,AUTO,CLU0031,9710.98,
CLM0089,LIABILITY,CLU0031,59743.30,
CLM0090,AUTO,CLU0032,11530.78,
CLM0091,LIABILITY,CLU0033,58182.39,
CLM0092,AUTO,CLU0034,12603.11,
CLM0093,AUTO,CLU0034,10430.58,
CLM0094,LIABILITY,CLU0034,71835.08,
CLM0095,LIABILITY,CLU0035,67387.61,
CLM0096,AUTO,CLU0036,8490.33,
