claim_id,claim_type,incident_cluster_id,settlement_offer_usd
CLM0001,AUTO,CLU0001,12686.23
CLM0002,AUTO,CLU0001,12700.10
CLM0003,AUTO,CLU0001,12614.37
CLM0004,AUTO,CLU0001,12742.03
CLM0005,AUTO,CLU0002,12521.05
CLM0006,AUTO,CLU0002,12644.08
CLM0007,AUTO,CLU0002,12469.51
CLM0008,AUTO,CLU0003,8896.32
CLM0009,LIABILITY,CLU0003,57515.51
CLM0010,AUTO,CLU0003,8157.07
CLM0011,AUTO,CLU0004,12669.01
CLM0012,PROPERTY,CLU0004,32489.30
CLM0013,PROPERTY,CLU0005,25883.13
CLM0014,AUTO,CLU0005,11209.17
CLM0015,AUTO,CLU0006,8738.00
CLM0016,AUTO,CLU0007,9241.28
CLM0017,PROPERTY,CLU0007,26623.30
CLM0018,PROPERTY,CLU0007,21748.08
CLM0019,PROPERTY,CLU0008,29894.60
CLM0020,AUTO,CLU0009,8428.64
CLM0021,PROPERTY,CLU0009,23768.78
CLM0022,AUTO,CLU0010,12194.97
CLM0023,LIABILITY,CLU0010,45112.81
