job_id,required_skill,base_duration,priority,deadline,arrival_time
J1,general,36,standard,119,0
J2,B,34,standard,78,0
J3,B,62,standard,145,0
J4,general,33,urgent,74,0
J5,general,51,standard,114,0
J6,general,36,standard,91,0
J7,general,34,urgent,108,50
J8,general,41,standard,192,50
J9,general,62,urgent,134,50
J10,general,44,standard,208,50
J11,general,46,standard,212,50
J12,A,56,standard,266,130
J13,B,57,urgent,202,130
J14,general,53,standard,237,130
J15,general,44,urgent,207,130
J16,general,53,standard,257,130
J17,general,38,standard,273,130
J18,C,64,standard,382,260
J19,B,34,standard,389,260
J20,general,38,urgent,340,260
J21,B,64,urgent,341,260
J22,B,40,urgent,335,260
J23,general,60,standard,501,340
J24,general,32,standard,448,340
J25,general,39,standard,427,340
J26,A,51,standard,479,340
J27,general,62,standard,507,340
