entity_id,jurisdiction
ENT0001,JUR-LU
ENT0002,JUR-LU
ENT0003,JUR-SG
ENT0004,JUR-DE
ENT0005,JUR-DE
ENT0006,JUR-DE
ENT0007,JUR-FR
ENT0008,JUR-DE
ENT0009,JUR-LU
ENT0010,JUR-DE
ENT0011,JUR-KY
ENT0012,JUR-LU
ENT0013,JUR-KY
ENT0014,JUR-SG
ENT0015,JUR-SG
ENT0016,JUR-BR
ENT0017,JUR-FR
ENT0018,JUR-FR
ENT0019,JUR-BVI
ENT0020,JUR-PA
ENT0021,JUR-FR
ENT0022,JUR-BVI
ENT0023,JUR-KY
ENT0024,JUR-SG
ENT0025,JUR-KY
ENT0026,JUR-KY
ENT0027,JUR-SG
ENT0028,JUR-BVI
ENT0029,JUR-DE
ENT0030,JUR-LU
ENT0031,JUR-BVI
ENT0032,JUR-SG
ENT0033,JUR-DE
ENT0034,JUR-BVI
ENT0035,JUR-BR
ENT0036,JUR-FR
ENT0037,JUR-BR
ENT0038,JUR-BVI
ENT0039,JUR-LU
ENT0040,JUR-PA
ENT0041,JUR-PA
ENT0042,JUR-BVI
ENT0043,JUR-SG
ENT0044,JUR-LU
ENT0045,JUR-LU
ENT0046,JUR-DE
ENT0047,JUR-DE
ENT0048,JUR-PA
ENT0049,JUR-LU
ENT0050,JUR-LU
ENT0051,JUR-FR
ENT0052,JUR-DE
ENT0053,JUR-DE
ENT0054,JUR-SG
ENT0055,JUR-LU
ENT0056,JUR-SG
ENT0057,JUR-DE
ENT0058,JUR-BVI
ENT0059,JUR-DE
ENT0060,JUR-SG
ENT0061,JUR-SG
ENT0062,JUR-LU
ENT0063,JUR-DE
ENT0064,JUR-LU
ENT0065,JUR-SG
ENT0066,JUR-KY
ENT0067,JUR-DE
ENT0068,JUR-SG
ENT0069,JUR-DE
ENT0070,JUR-FR
ENT0071,JUR-BVI
ENT0072,JUR-DE
ENT0073,JUR-LU
ENT0074,JUR-LU
ENT0075,JUR-LU
ENT0076,JUR-FR
ENT0077,JUR-KY
ENT0078,JUR-SG
ENT0079,JUR-KY
ENT0080,JUR-FR
ENT0081,JUR-BR
ENT0082,JUR-FR
ENT0083,JUR-SG
ENT0084,JUR-LU
ENT0085,JUR-SG
ENT0086,JUR-LU
ENT0087,JUR-BVI
ENT0088,JUR-LU
ENT0089,JUR-BVI
ENT0090,JUR-LU
ENT0091,JUR-DE
ENT0092,JUR-BVI
ENT0093,JUR-SG
ENT0094,JUR-DE
ENT0095,JUR-BR
ENT0096,JUR-FR
ENT0097,JUR-FR
ENT0098,JUR-FR
ENT0099,JUR-SG
ENT0100,JUR-FR
ENT0101,JUR-BVI
