currency,year,month,rate_to_usd
EUR,2024,1,0.8596
EUR,2024,2,0.85601
EUR,2024,3,0.84865
EUR,2024,4,0.84925
EUR,2024,5,0.88225
EUR,2024,6,0.90418
EUR,2024,7,0.9102
EUR,2024,8,0.87736
EUR,2024,9,0.84343
EUR,2024,10,0.82421
EUR,2024,11,0.9539
EUR,2024,12,0.94918
GBP,2024,1,1.19357
GBP,2024,2,1.16559
GBP,2024,3,1.20143
GBP,2024,4,1.22545
GBP,2024,5,1.1253
GBP,2024,6,1.20474
GBP,2024,7,1.15755
GBP,2024,8,1.20038
GBP,2024,9,1.10062
GBP,2024,10,1.22371
GBP,2024,11,1.10873
GBP,2024,12,1.1847
SGD,2024,1,1.27828
SGD,2024,2,1.2745
SGD,2024,3,1.23459
SGD,2024,4,1.28123
SGD,2024,5,1.27982
SGD,2024,6,1.20552
SGD,2024,7,1.27834
SGD,2024,8,1.22435
SGD,2024,9,1.33294
SGD,2024,10,1.26912
SGD,2024,11,1.28359
SGD,2024,12,1.16891
BRL,2024,1,1.00173
BRL,2024,2,1.01001
BRL,2024,3,0.98253
BRL,2024,4,0.98146
BRL,2024,5,1.05289
BRL,2024,6,1.0371
BRL,2024,7,1.01252
BRL,2024,8,1.06968
BRL,2024,9,1.08554
BRL,2024,10,0.9684
BRL,2024,11,1.1152
BRL,2024,12,1.12626
AUD,2024,1,0.79198
AUD,2024,2,0.77205
AUD,2024,3,0.8092
AUD,2024,4,0.79217
AUD,2024,5,0.76821
AUD,2024,6,0.76473
AUD,2024,7,0.73283
AUD,2024,8,0.81171
AUD,2024,9,0.82968
AUD,2024,10,0.80911
AUD,2024,11,0.76693
AUD,2024,12,0.81574
USD,2024,1,1.0
USD,2024,2,1.0
USD,2024,3,1.0
USD,2024,4,1.0
USD,2024,5,1.0
USD,2024,6,1.0
USD,2024,7,1.0
USD,2024,8,1.0
USD,2024,9,1.0
USD,2024,10,1.0
USD,2024,11,1.0
USD,2024,12,1.0
