owner,owned,stake_pct,effective_from,effective_to
ENT0012,ENT0011,60.0,2024-01-01,2024-08-01
ENT0012,ENT0011,45.0,2024-08-01,2025-01-01
ENT0013,ENT0012,100.0,2024-01-01,2025-01-01
ENT0015,ENT0014,70.0,2024-01-01,2024-08-01
ENT0015,ENT0014,30.0,2024-08-01,2025-01-01
ENT0016,ENT0015,100.0,2024-01-01,2025-01-01
ENT0018,ENT0017,60.0,2024-01-01,2024-07-01
ENT0018,ENT0017,45.0,2024-07-01,2025-01-01
ENT0019,ENT0018,100.0,2024-01-01,2025-01-01
ENT0021,ENT0020,70.0,2024-01-01,2024-08-01
ENT0021,ENT0020,40.0,2024-08-01,2025-01-01
ENT0022,ENT0021,100.0,2024-01-01,2025-01-01
ENT0024,ENT0023,55.0,2024-01-01,2024-05-01
ENT0024,ENT0023,45.0,2024-05-01,2025-01-01
ENT0025,ENT0024,100.0,2024-01-01,2025-01-01
ENT0027,ENT0026,55.0,2024-01-01,2024-08-01
ENT0027,ENT0026,45.0,2024-08-01,2025-01-01
ENT0028,ENT0027,100.0,2024-01-01,2025-01-01
ENT0030,ENT0029,60.0,2024-01-01,2024-07-01
ENT0030,ENT0029,45.0,2024-07-01,2025-01-01
ENT0031,ENT0030,100.0,2024-01-01,2025-01-01
ENT0033,ENT0032,60.0,2024-01-01,2024-08-01
ENT0033,ENT0032,45.0,2024-08-01,2025-01-01
ENT0034,ENT0033,100.0,2024-01-01,2025-01-01
ENT0036,ENT0035,70.0,2024-01-01,2024-08-01
ENT0036,ENT0035,45.0,2024-08-01,2025-01-01
ENT0037,ENT0036,100.0,2024-01-01,2025-01-01
ENT0039,ENT0038,55.0,2024-01-01,2024-07-01
ENT0039,ENT0038,30.0,2024-07-01,2025-01-01
ENT0040,ENT0039,100.0,2024-01-01,2025-01-01
ENT0100,ENT0099,50.0,2024-01-01,2025-01-01
ENT0101,ENT0100,100.0,2024-01-01,2025-01-01
