payment_id,payee,amount,currency,payment_date,acquisition_date
PAY0001,ENT0001,310098.2,GBP,2024-06-25,2022-01-01
PAY0002,ENT0001,310098.2,GBP,2024-07-02,2022-01-01
PAY0003,ENT0001,310098.2,GBP,2024-10-15,2022-01-01
PAY0004,ENT0002,330028.61,AUD,2024-03-03,2022-01-01
PAY0005,ENT0002,330028.61,AUD,2024-07-11,2022-01-01
PAY0006,ENT0002,330028.61,AUD,2024-10-04,2022-01-01
PAY0007,ENT0003,310057.86,EUR,2024-03-17,2022-01-01
PAY0008,ENT0003,310057.86,EUR,2024-04-05,2022-01-01
PAY0009,ENT0003,310057.86,EUR,2024-05-27,2022-01-01
PAY0010,ENT0004,310060.35,BRL,2024-03-18,2022-01-01
PAY0011,ENT0004,310060.35,BRL,2024-06-22,2022-01-01
PAY0012,ENT0004,310060.35,BRL,2024-10-09,2022-01-01
PAY0013,ENT0005,330044.58,BRL,2024-02-07,2022-01-01
PAY0014,ENT0005,330044.58,BRL,2024-04-22,2022-01-01
PAY0015,ENT0005,330044.58,BRL,2024-09-19,2022-01-01
PAY0016,ENT0006,310017.62,BRL,2024-03-13,2022-01-01
PAY0017,ENT0006,310017.62,BRL,2024-06-18,2022-01-01
PAY0018,ENT0006,310017.62,BRL,2024-09-11,2022-01-01
PAY0019,ENT0007,290098.16,SGD,2024-02-16,2022-01-01
PAY0020,ENT0007,290098.16,SGD,2024-03-19,2022-01-01
PAY0021,ENT0007,290098.16,SGD,2024-09-09,2022-01-01
PAY0022,ENT0008,290069.15,SGD,2024-02-21,2022-01-01
PAY0023,ENT0008,290069.15,SGD,2024-08-22,2022-01-01
PAY0024,ENT0008,290069.15,SGD,2024-09-16,2022-01-01
PAY0025,ENT0009,310044.04,BRL,2024-07-18,2022-01-01
PAY0026,ENT0009,310044.04,BRL,2024-09-20,2022-01-01
PAY0027,ENT0009,310044.04,BRL,2024-10-17,2022-01-01
PAY0028,ENT0010,310028.37,EUR,2024-03-22,2022-01-01
PAY0029,ENT0010,310028.37,EUR,2024-08-10,2022-01-01
PAY0030,ENT0010,310028.37,EUR,2024-10-23,2022-01-01
PAY0031,ENT0011,120047.33,BRL,2024-03-03,2022-01-01
PAY0032,ENT0011,120047.33,BRL,2024-10-10,2022-01-01
PAY0033,ENT0014,80045.69,SGD,2024-02-04,2022-01-01
PAY0034,ENT0014,80045.69,SGD,2024-10-13,2022-01-01
PAY0035,ENT0017,120042.84,AUD,2024-05-01,2022-01-01
PAY0036,ENT0017,120042.84,AUD,2024-07-07,2022-01-01
PAY0037,ENT0020,100066.96,SGD,2024-02-16,2022-01-01
PAY0038,ENT0020,100066.96,SGD,2024-11-09,2022-01-01
PAY0039,ENT0023,80078.43,EUR,2024-04-22,2022-01-01
PAY0040,ENT0023,80078.43,EUR,2024-06-19,2022-01-01
PAY0041,ENT0026,120078.39,BRL,2024-03-08,2022-01-01
PAY0042,ENT0026,120078.39,BRL,2024-11-25,2022-01-01
PAY0043,ENT0029,100047.03,AUD,2024-04-07,2022-01-01
PAY0044,ENT0029,100047.03,AUD,2024-10-05,2022-01-01
PAY0045,ENT0032,100006.74,EUR,2024-05-01,2022-01-01
PAY0046,ENT0032,100006.74,EUR,2024-10-24,2022-01-01
PAY0047,ENT0035,100045.15,SGD,2024-02-21,2022-01-01
PAY0048,ENT0035,100045.15,SGD,2024-09-09,2022-01-01
PAY0049,ENT0038,80080.11,SGD,2024-06-12,2022-01-01
PAY0050,ENT0038,80080.11,SGD,2024-09-05,2022-01-01
PAY0051,ENT0041,50036.65,GBP,2024-11-27,2022-01-01
PAY0052,ENT0042,30059.86,EUR,2024-10-16,2022-01-01
PAY0053,ENT0043,70077.28,SGD,2024-09-21,2024-02-13
PAY0054,ENT0044,50001.0,GBP,2024-04-22,2024-01-11
PAY0055,ENT0045,30071.27,GBP,2024-11-10,2022-01-01
PAY0056,ENT0046,50076.4,AUD,2024-11-22,2024-06-04
PAY0057,ENT0047,50067.05,EUR,2024-03-13,2024-02-04
PAY0058,ENT0048,50041.55,BRL,2024-02-27,2022-01-01
PAY0059,ENT0049,30083.14,BRL,2024-04-10,2022-01-01
PAY0060,ENT0050,50066.56,BRL,2024-02-13,2022-01-01
PAY0061,ENT0051,70075.74,GBP,2024-04-23,2024-03-22
PAY0062,ENT0052,50084.02,AUD,2024-10-22,2022-01-01
PAY0063,ENT0053,70017.26,AUD,2024-08-15,2022-01-01
PAY0064,ENT0054,30090.57,SGD,2024-10-12,2024-07-12
PAY0065,ENT0055,30088.39,AUD,2024-07-03,2024-03-31
PAY0066,ENT0056,70012.88,EUR,2024-05-26,2023-11-23
PAY0067,ENT0057,70096.17,GBP,2024-03-04,2023-05-21
PAY0068,ENT0058,70058.75,EUR,2024-08-17,2022-01-01
